Character,Voiced by,Description/role,First appearance 
"Gunderson, Gil",Dan Castellaneta ,Unsuccessful Salesman. ,"""Realty Bites"""
Happy Little Elves ,"Dan Castellaneta, Hank Azaria, and Harry Shearer",Children's cartoon series characters. ,"""Scary Movie"" (The Simpsons shorts)"
"Harm, Judge Constance",Jane Kaczmarek ,Springfield judge. ,"""The Parent Rap"""
Herman ,Harry Shearer ,Owner of Herman's Military Antiques shop. ,"""Bart the General"""
"Hibbert, Bernice",Tress MacNeille ,Dr. Hibbert's wife. ,"""Bart's Dog Gets an F"""
"Hibbert, Dr. Julius",Harry Shearer ,Medical doctor. ,"""Bart the Daredevil"""
"Hoover, Elizabeth",Maggie Roswell ,Lisa Simpson's teacher at Springfield Elementary School. ,"""Lisa's Substitute"""
"Hutz, Lionel",Phil Hartman ,Attorney. ,"""Bart Gets Hit by a Car"""
Itchy & Scratchy ,Dan Castellaneta and Harry Shearer ,Cartoon cat and mouse. ,"""The Bart Simpson Show"" (The Simpsons shorts)"
Jacques ,Albert Brooks,Bowling instructor. ,"""Life on the Fast Lane"""
"Jones, Jimbo",Pamela Hayden ,Springfield Elementary School bully. ,"""The Telltale Head"""
"Jordan, Rachel",Shawn Colvin ,Lead singer of the Christian Rock band Kovenant. ,"""Alone Again, Natura-diddily"""
Kang and Kodos ,Harry Shearer and Dan Castellaneta ,Extraterrestrials. ,"""Treehouse of Horror"""
"Kashmir, Princess",Maggie Roswell ,Belly dancer. ,"""Homer's Night Out"""
Kearney ,Nancy Cartwright ,Springfield Elementary School bully. ,"""The Telltale Head"""
"Krabappel, Edna",Marcia Wallace ,Bart Simpson's teacher at Springfield Elementary School. ,"""Bart the Genius"""
"Krustofski, Rabbi Hyman",Jackie Mason ,Rabbi; father of Krusty the Clown. ,"""Like Father, Like Clown"""
Krusty the Clown ,Dan Castellaneta ,"TV show clown host, original name Herschel Shmoikel Pinchas Yerucham Krustofski.","""The Krusty the Clown Show"" (The Simpsons shorts)"
"Kwan, Cookie",Tress MacNeille ,Real estate agent. ,"""Realty Bites"""
"Largo, Dewey",Harry Shearer ,Springfield Elementary School's music teacher. ,"""Simpsons Roasting on an Open Fire"""
Legs and Louie ,Hank Azaria and Dan Castellaneta ,Fat Tony's henchmen. ,"""Bart the Murderer"""
Leopold ,Dan Castellaneta ,Superintendent Chalmers' assistant. ,"""Sweet Seymour Skinner's Baadasssss Song"""
"Leonard, Lenny",Harry Shearer ,Springfield Nuclear Power Plant employee; one of Homer Simpson's friends. ,"""Life on the Fast Lane"""
Lewis ,Russi Taylor ,Student at Springfield Elementary School. ,"""Simpsons Roasting on an Open Fire"""
"Lovejoy, Helen",Maggie Roswell ,Reverend Lovejoy's wife. ,"""Life on the Fast Lane"""
"Lovejoy, Reverend Timothy",Harry Shearer ,Minister of the First Church of Springfield. ,"""The Telltale Head"""
Lugash ,Dan Castellaneta ,Gymnastics instructor. ,"""Children of a Lesser Clod"""
Luigi ,Hank Azaria ,Italian restaurant proprietor. ,"""Sweet Seymour Skinner's Baadasssss Song"""
"Lumpkin, Lurleen","Beverly D'Angelo, Doris Grau",Country music singer/songwriter. ,"""Colonel Homer"""
Malibu Stacy ,Pamela Hayden ,Doll. ,Simpson and Delilah
"Mann, OttoOtto Mann",Harry Shearer ,Springfield Elementary School bus driver. ,"""Homer's Odyssey"""
"McCallister, Captain Horatio",Hank Azaria ,Sea captain. ,"""New Kid on the Block"""
"Meyers, Jr., Roger","Alex Rocco, Dan Castellaneta",President of Itchy & Scratchy Studios. ,"""Itchy & Scratchy & Marge"""
"McClure, TroyTroy McClure",Phil Hartman ,Actor. ,"""Homer vs. Lisa and the 8th Commandment"""
"Moleman, Hans",Dan Castellaneta ,Misfortunate man. ,"""Principal Charming"""
"Monroe, Dr. Marvin",Harry Shearer ,Psychotherapist. ,"""There's No Disgrace Like Home"""
"Muntz, Nelson",Nancy Cartwright ,Springfield Elementary School bully. ,"""Bart the General"""
"Muntz, Mrs.",Tress MacNeille ,Nelson Muntz's mother. 
"Murdock, Captain Lance",Dan Castellaneta ,Daredevil. ,"""Bart the Daredevil"""
"Murphy, Bleeding Gums",Ron Taylor ,Blues musician. ,"""Moaning Lisa"""
"Naegle, Lindsey",Tress MacNeille ,Corporate executive. ,"""The Itchy & Scratchy & Poochie Show"""
"Nahasapeemapetilon, Apu",Hank Azaria ,Operator of the Kwik-E-Mart. ,"""The Telltale Head"""
"Nahasapeemapetilon, Manjula",Jan Hooks ,Apu Nahasapeemapetilon's wife. ,"""The Two Mrs. Nahasapeemapetilons"""
"Nahasapeemapetilon, Sanjay",Harry Shearer ,Apu Nahasapeemapetilon's older brother. ,"""Homer vs. Lisa and the 8th Commandment"""
Old Barber ,"Dan Castellaneta, Harry Shearer",Barber. ,"""Bart's Haircut"" (The Simpsons shorts)"
Old Jewish Man ,Hank Azaria ,Springfield Retirement Castle resident. ,"""Krusty Gets Kancelled"""
Patches and Poor Violet ,Pamela Hayden and Tress MacNeille ,Orphans. ,"""Miracle on Evergreen Terrace"""
"Pye, Arnie",Dan Castellaneta ,Helicopter reporter. ,"""Homer Alone"""
Poochie ,Dan Castellaneta ,Cartoon dog formerly on The Itchy & Scratchy Show. ,"""The Itchy & Scratchy & Poochie Show"""
"Powell, Herbert",Danny DeVito ,Homer Simpson's half-brother. ,"""Oh Brother, Where Art Thou?"""
"Powell, Janey",Pamela Hayden ,Student at Springfield Elementary School. ,"""Bart the General"""
"Powers, Ruth",Pamela Reed ,The Simpsons' next door neighbor. ,"""New Kid on the Block"""
"Prince, Martin",Russi Taylor ,Student at Springfield Elementary School. ,"""Bart the Genius"""
"Pryor, Dr. J. Loren",Harry Shearer ,Springfield Elementary's school psychologist. ,"""Bart the Genius"""
"Quimby, Mayor""Diamond Joe""",Dan Castellaneta ,Mayor of Springfield. ,"""Bart Gets an F"""
Radioactive Man ,Harry Shearer ,Comic book superhero. ,"""Bart the Genius"""
"Rich Texan, The",Dan Castellaneta ,Philanthropist. ,"""$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)"""
